review_text,rating,len_char,len_word,tokens_clean,clean_text
"this is an updated review on this game from 2023. I really adore this game ever since I started playing it. It's fast paced, easy to play. The events are decent, not too bad. You can apply autobattle while battling the enemies on the game which for me is really convenient because I get to do my work. Furthermore, I also like the songs in this game. It's both melancholy and blessed. Not to brag, also, about the designs in this game, it's pretty well made. Overall, 9/10.",4,473,88,"['update', 'review', 'game', '2023', 'really', 'adore', 'game', 'ever', 'since', 'start', 'fast', 'paced', 'easy', 'event', 'decent', 'not', 'bad', 'apply', 'autobattle', 'battle', 'enemy', 'game', 'really', 'convenient', 'get', 'work', 'furthermore', 'also', 'like', 'song', 'game', 'melancholy', 'bless', 'not', 'brag', 'also', 'designs', 'game', 'pretty', 'well', 'make', 'overall', '10']",update review game 2023 really adore game ever since start fast paced easy event decent not bad apply autobattle battle enemy game really convenient get work furthermore also like song game melancholy bless not brag also designs game pretty well make overall 10
"2 years later and my review still stands. Rigged gacha, bad combat system, non-existent elemental reaction, bad 4 star rooster. inflexible party build and horrendous powercreep",1,176,26,"['year', 'later', 'review', 'still', 'stand', 'rigged', 'gacha', 'bad', 'combat', 'system', 'non', 'existent', 'elemental', 'reaction', 'bad', 'rooster', 'inflexible', 'party', 'build', 'horrendous', 'powercreep']",year later review still stand rigged gacha bad combat system non existent elemental reaction bad rooster inflexible party build horrendous powercreep
Its RIDICULOUS That You Can Only Play On PC And Mobile,1,54,11,"['ridiculous', 'pc', 'mobile']",ridiculous pc mobile
"story so long and feel like repeat some content about 3-4 time, if they present one of each it will be perfect, 2 star for beutiful Elysia....if isn't for her i will rate 1 star",2,177,35,"['story', 'long', 'feel', 'like', 'repeat', 'present', 'one', 'perfect', 'beutiful', 'elysia', 'not', 'rate']",story long feel like repeat present one perfect beutiful elysia not rate
Best gameplay out of the 4 games they got,5,41,9,"['best', 'gameplay', 'get']",best gameplay get
really really love the replayable scenes!!! thank you honkai: star rail for realizing your fans' wishes such as this mod.. am enjoying it so much!!!,5,148,25,"['really', 'really', 'love', 'replayable', 'scene', 'thank', 'realize', 'fan', 'wish', 'mod', 'enjoy', 'much']",really really love replayable scene thank realize fan wish mod enjoy much
I LOVE YOU I LOVE THOS GAME IN COMIBF BQCK EVERY ORHER GAME IS TRASHHHH,5,71,15,"['love', 'love', 'tho', 'game', 'comibf', 'back', 'every', 'game', 'trashhhh']",love love tho game comibf back every game trashhhh
The greed of this company is simply unmatched. All of the decisions related to the monetization and exponential power spike of the game have been very disheartening. What is strange is how the critiques and concerns from players about the games health are not been acknowledged or even considered. It is quite sad to see as the game itself is of high quality and can be fun but hoyoverse seems like they want to sour the experience.,1,432,77,"['greed', 'company', 'simply', 'unmatched', 'decision', 'relate', 'monetization', 'exponential', 'power', 'spike', 'game', 'dishearten', 'strange', 'critique', 'concern', 'health', 'not', 'acknowledge', 'even', 'consider', 'quite', 'sad', 'see', 'game', 'high', 'quality', 'fun', 'seem', 'like', 'want', 'sour', 'experience']",greed company simply unmatched decision relate monetization exponential power spike game dishearten strange critique concern health not acknowledge even consider quite sad see game high quality fun seem like want sour experience
Love it. PHAINON MUST LIVE!,5,27,5,"['love', 'phainon', 'must', 'live']",love phainon must live
Cool game really enjoyed the story though it's gacha system is somewhat weird. It's story is very intriguing,4,108,18,"['cool', 'game', 'really', 'enjoyed', 'story', 'though', 'gacha', 'system', 'somewhat', 'weird', 'story', 'intriguing']",cool game really enjoyed story though gacha system somewhat weird story intriguing
"bad gameplay direction, not fully clear",1,39,6,"['bad', 'gameplay', 'direction', 'not', 'fully', 'clear']",bad gameplay direction not fully clear
The Amphoreous Arc is one of the best stories I've played in any game ever. HSR has shattered my expectations for gacha and mobile games.,5,137,25,"['amphoreous', 'arc', 'one', 'best', 'story', 'game', 'ever', 'shatter', 'expectation', 'gacha', 'mobile']",amphoreous arc one best story game ever shatter expectation gacha mobile
it's 5-star because I don't want Hertatomb to actualized.,5,57,9,"['not', 'want', 'hertatomb', 'actualized']",not want hertatomb actualized
"The story is fun, and it's pretty easy to get into as a new player. However, once you've done the main story, it gets boring quickly. There are no new companion missions, no new 4 star characters. Every patch has a new character the meta caters to and it becomes near-impossible to clear late game content with old characters unless they're highly invested. The gambling aspect infects every part of the game, and there isn't nearly enough to do in-game for free to play players to earn pulls.",2,493,88,"['story', 'fun', 'pretty', 'easy', 'get', 'new', 'however', 'do', 'main', 'story', 'get', 'boring', 'quickly', 'no', 'new', 'companion', 'mission', 'no', 'new', 'character', 'every', 'patch', 'new', 'character', 'meta', 'caters', 'becomes', 'near', 'impossible', 'clear', 'late', 'game', 'old', 'character', 'unless', 'highly', 'invest', 'gamble', 'aspect', 'infects', 'every', 'part', 'game', 'not', 'nearly', 'enough', 'game', 'free', 'earn', 'pull']",story fun pretty easy get new however do main story get boring quickly no new companion mission no new character every patch new character meta caters becomes near impossible clear late game old character unless highly invest gamble aspect infects every part game not nearly enough game free earn pull
good storyline,5,14,2,"['good', 'storyline']",good storyline
cyrene🥀 (and the top-up event),1,30,5,"['cyrene', 'top', 'event']",cyrene top event
Holy bloated writing,3,20,3,"['holy', 'bloat', 'write']",holy bloat write
"Great update, the story in Amphoreus is picking up so nicely please keep this pace! Absolute loving the cast so far. Edit Reducing a star because it takes real skill to ruin a story that was this good with such a botched ending. Hoyoverse writing team has a knack for ruining conclusions.",3,288,52,"['great', 'update', 'story', 'amphoreus', 'pick', 'nicely', 'please', 'keep', 'pace', 'absolute', 'love', 'cast', 'far', 'edit', 'reduce', 'take', 'real', 'skill', 'ruin', 'story', 'good', 'botch', 'end', 'write', 'team', 'knack', 'ruin', 'conclusion']",great update story amphoreus pick nicely please keep pace absolute love cast far edit reduce take real skill ruin story good botch end write team knack ruin conclusion
Lesson No1. Never use real money in these types of games,1,56,11,"['lesson', 'no1', 'never', 'use', 'real', 'money', 'type']",lesson no1 never use real money type
"Update: I really loved this game when it first came out, but with how fast power creep is, you have to spend money to keep relevant. The gear system feels like a slog after playing for two years, and the fact that my favourite characters are irrelevant led to me dropping. Story had its moments, but the ramp up with spending (shops that give more rewards the more you spend) made me feel like Hoyo just wanted me to keep spending money, and not enjoy their game.",2,463,87,"['update', 'really', 'loved', 'game', 'first', 'come', 'fast', 'power', 'creep', 'spend', 'money', 'keep', 'relevant', 'gear', 'system', 'feel', 'like', 'slog', 'two', 'year', 'fact', 'favourite', 'character', 'irrelevant', 'lead', 'drop', 'story', 'moment', 'ramp', 'spending', 'shop', 'give', 'reward', 'spend', 'make', 'feel', 'like', 'want', 'keep', 'spend', 'money', 'not', 'enjoy', 'game']",update really loved game first come fast power creep spend money keep relevant gear system feel like slog two year fact favourite character irrelevant lead drop story moment ramp spending shop give reward spend make feel like want keep spend money not enjoy game
Massive W,5,9,2,['massive'],massive
Greedy Company,1,14,2,"['greedy', 'company']",greedy company
Best Cutscenes. The moment when Evernight or March 7th reunites withs Dan Heng and Trailblazer was so emotional....,5,115,18,"['best', 'cutscenes', 'moment', 'evernight', 'march', '7th', 'reunites', 'withs', 'dan', 'heng', 'trailblazer', 'emotional']",best cutscenes moment evernight march 7th reunites withs dan heng trailblazer emotional
way to much to download on phone 13g and 33000+ rescourses to download is almost as insane a download as brown dust 2 which I hade to uninstall for almost the same reason can't even download to fully play plus both eat up leftover download space afterward sadly wish it was way less intense on phone users for both them games,1,325,61,"['way', 'much', 'download', 'phone', '13g', '33000', 'rescourses', 'download', 'almost', 'insane', 'download', 'brown', 'dust', 'hade', 'uninstall', 'almost', 'reason', 'not', 'even', 'download', 'fully', 'plus', 'eat', 'leftover', 'download', 'space', 'afterward', 'sadly', 'wish', 'way', 'less', 'intense', 'phone', 'user']",way much download phone 13g 33000 rescourses download almost insane download brown dust hade uninstall almost reason not even download fully plus eat leftover download space afterward sadly wish way less intense phone user
Cyrene... And the new story patch too tbh,1,41,8,"['cyrene', 'new', 'story', 'patch', 'tbh']",cyrene new story patch tbh
"JUST WHAT WAS THAT 3.7 STORY QUEST? Firstly, y'all attach us to the characters and then ""kill"" them off?? Bring all the chrysos heirs back!! I hate this game!! It's not worth it if you're not ready to cry 😭",1,206,40,"['story', 'quest', 'firstly', 'attach', 'u', 'character', 'kill', 'bring', 'chrysos', 'heir', 'back', 'hate', 'game', 'not', 'worth', 'not', 'ready', 'cry']",story quest firstly attach u character kill bring chrysos heir back hate game not worth not ready cry
"I've been playing this game since December 2024 and have grinded to reach the recent patch 3.7. However, this update has pushed me to my breaking point. I've been trying to download the resources everytime I log in and it never does. If the download fails and I try again, its storage space even though I have the space. I've been trying and waiting for almost two full days and im still struggling. all the added data and changes because of cyrene is killing my phone. I quit.",2,477,88,"['game', 'since', 'december', '2024', 'grind', 'reach', 'recent', 'patch', 'however', 'update', 'push', 'break', 'point', 'try', 'download', 'resource', 'everytime', 'log', 'never', 'download', 'fails', 'try', 'storage', 'space', 'even', 'though', 'space', 'try', 'wait', 'almost', 'two', 'full', 'day', 'im', 'still', 'struggle', 'add', 'data', 'change', 'cyrene', 'kill', 'phone', 'quit']",game since december 2024 grind reach recent patch however update push break point try download resource everytime log never download fails try storage space even though space try wait almost two full day im still struggle add data change cyrene kill phone quit
Too heavy,2,9,2,['heavy'],heavy
"Best game ever, its fun and entertaining.",5,41,7,"['best', 'game', 'ever', 'fun', 'entertain']",best game ever fun entertain
Login Error Occured. Error Code: 1001_1 Long event story... Hard pity gacha...,1,78,12,"['login', 'error', 'occur', 'error', 'code', '1001_1', 'long', 'event', 'story', 'hard', 'pity', 'gacha']",login error occur error code 1001_1 long event story hard pity gacha
WE NEED A HAPPY ENDING!!,1,24,5,"['need', 'happy', 'end']",need happy end
"Whoever wrote the latest patch must’ve thought 'epic fail' was cutting-edge. Newsflash: it’s just trash. Appalling doesn’t even begin to cover the complete failure of the narrative and characterization. The empty rhetoric only made the already terrible storytelling worse. I guess this so-called 'genius' of a writer is nothing more than a master of recycling clichés, and the constant praise just feeds the illusion of depth.",1,426,66,"['whoever', 'write', 'late', 'patch', 'must', 'think', 'epic', 'fail', 'cutting', 'edge', 'newsflash', 'trash', 'appal', 'even', 'begin', 'cover', 'complete', 'failure', 'narrative', 'characterization', 'empty', 'rhetoric', 'make', 'already', 'terrible', 'storytelling', 'bad', 'guess', 'call', 'genius', 'writer', 'nothing', 'master', 'recycle', 'clich', 'constant', 'praise', 'feed', 'illusion', 'depth']",whoever write late patch must think epic fail cutting edge newsflash trash appal even begin cover complete failure narrative characterization empty rhetoric make already terrible storytelling bad guess call genius writer nothing master recycle clich constant praise feed illusion depth
good experience,3,15,2,"['good', 'experience']",good experience
"Please consider making the small Cyrene playable. I, along with many others, am not interested in the new character you created. Also, without spoiling anything, the fact that you turned the joke about her into something real in the story is honestly pretty wild",1,262,44,"['please', 'consider', 'make', 'small', 'cyrene', 'playable', 'along', 'many', 'others', 'not', 'interested', 'new', 'character', 'create', 'also', 'without', 'spoil', 'anything', 'fact', 'turn', 'joke', 'something', 'real', 'story', 'honestly', 'pretty', 'wild']",please consider make small cyrene playable along many others not interested new character create also without spoil anything fact turn joke something real story honestly pretty wild
what a smart company. they know how to trick their player,2,57,11,"['smart', 'company', 'know', 'trick']",smart company know trick
"absolutely pathetic job. often the highest revenue game but that money is no where to be seen, by far the laziest damn developers in terms of what's in the game verse the money on hand. Shared animations, no voice acting in scenes, stiff recycled movements in cutscenes. every character share one of four animation skeletons. all could have been acceptable if patched over, but by now clearly that won't happen. the recent patch has by far the worst story update this game has ever put to screen.",1,496,87,"['absolutely', 'pathetic', 'job', 'often', 'high', 'revenue', 'game', 'money', 'no', 'see', 'far', 'lazy', 'damn', 'developer', 'term', 'game', 'verse', 'money', 'hand', 'share', 'animation', 'no', 'voice', 'act', 'scene', 'stiff', 'recycle', 'movement', 'cutscenes', 'every', 'character', 'share', 'one', 'four', 'animation', 'skeleton', 'could', 'acceptable', 'patch', 'clearly', 'not', 'happen', 'recent', 'patch', 'far', 'bad', 'story', 'update', 'game', 'ever', 'put', 'screen']",absolutely pathetic job often high revenue game money no see far lazy damn developer term game verse money hand share animation no voice act scene stiff recycle movement cutscenes every character share one four animation skeleton could acceptable patch clearly not happen recent patch far bad story update game ever put screen
3.7 story is peak I really liked Cyrene,5,39,8,"['story', 'peak', 'really', 'like', 'cyrene']",story peak really like cyrene
"I like this game like hell, it's definitely my style. The design is well done, the UX is well done. I'm still confused about some steps, but they explain everything. Just one issue: it takes a hell of a lot of storage. My phone couldn't handle it, so I uninstalled it, and now I'm sad about that. My phone doesn't have many apps, but it takes more than 60GB of storage, which is so huge",4,386,75,"['like', 'game', 'like', 'hell', 'definitely', 'style', 'design', 'well', 'do', 'ux', 'well', 'do', 'still', 'confused', 'step', 'explain', 'everything', 'one', 'issue', 'take', 'hell', 'lot', 'storage', 'phone', 'handle', 'uninstalled', 'sad', 'phone', 'not', 'many', 'apps', 'take', '60gb', 'storage', 'huge']",like game like hell definitely style design well do ux well do still confused step explain everything one issue take hell lot storage phone handle uninstalled sad phone not many apps take 60gb storage huge
"Hoyo cooked with the story and then they decided that they don't have enough money, so they release a scam character that needs E2 + signature to be worth it and then has a cosmetic that costs around 300€ to get only by spending real money. My opinion of Hoyo just plummeted down to non-existent. How can they be so greedy and even showcase Cyrene with Eidolons on the 3.7 Livestream... And even worse is that the Amphoreus arc will end and then new 4.0 characters instantly powercreep E0 Cyrene.",2,496,90,"['cooked', 'story', 'decide', 'not', 'enough', 'money', 'release', 'scam', 'character', 'need', 'eidolon_2', 'signature', 'worth', 'cosmetic', 'cost', 'around', '300', 'get', 'spending', 'real', 'money', 'opinion', 'plummet', 'non', 'existent', 'greedy', 'even', 'showcase', 'cyrene', 'eidolons', 'livestream', 'even', 'bad', 'amphoreus', 'arc', 'end', 'new', 'character', 'instantly', 'powercreep', 'eidolon_0', 'cyrene']",cooked story decide not enough money release scam character need eidolon_2 signature worth cosmetic cost around 300 get spending real money opinion plummet non existent greedy even showcase cyrene eidolons livestream even bad amphoreus arc end new character instantly powercreep eidolon_0 cyrene
"fanatic game, but the pressure to spend really weighs on players and stresses them out. would be nice to have a better pity/reward system. Honestly, I really wish I could love this game, but it's simply too predatory in its current state.",3,238,42,"['fanatic', 'game', 'pressure', 'spend', 'really', 'weighs', 'stress', 'would', 'nice', 'well', 'pity', 'reward', 'system', 'honestly', 'really', 'wish', 'could', 'love', 'game', 'simply', 'predatory', 'current', 'state']",fanatic game pressure spend really weighs stress would nice well pity reward system honestly really wish could love game simply predatory current state
"Bring the Chrysos Heirs back, or else Little Ica will devour you all. I can't do this without them. 💔",1,101,20,"['bring', 'chrysos', 'heir', 'back', 'else', 'little', 'ica', 'devour', 'not', 'without']",bring chrysos heir back else little ica devour not without
Cyrene is absolutely horrible. Unusable below E2 and you have to have a premium remembrance team. Fix her kit. She is a cash cow. At this point she's just nostalgia bait. Listen to your players.,1,194,35,"['cyrene', 'absolutely', 'horrible', 'unusable', 'eidolon_2', 'premium', 'remembrance', 'team', 'fix', 'kit', 'cash', 'cow', 'point', 'nostalgia', 'bait', 'listen']",cyrene absolutely horrible unusable eidolon_2 premium remembrance team fix kit cash cow point nostalgia bait listen
this game is genuinely so good!! theyre so much more generous than other hoyo games (as someone that plays/played all hoyo games before) which i really like as an f2p. i do have to mention that the game is becoming more and more of a cash grab.. (typing this at the time of cyrenes release) the new characters are getting too overpowered and i feel like its ruining the balance of the game in a way? overall this is a good game but i hope the devs address the powercreep issues soon.,4,483,92,"['game', 'genuinely', 'good', 'theyre', 'much', 'generous', 'someone', 'play', 'really', 'like', 'free_to_play', 'mention', 'game', 'become', 'cash', 'grab', 'type', 'cyrenes', 'release', 'new', 'character', 'get', 'overpowered', 'feel', 'like', 'ruin', 'balance', 'game', 'way', 'overall', 'good', 'game', 'hope', 'devs', 'address', 'powercreep', 'issue', 'soon']",game genuinely good theyre much generous someone play really like free_to_play mention game become cash grab type cyrenes release new character get overpowered feel like ruin balance game way overall good game hope devs address powercreep issue soon
"I hates the tutorial currency wars, give options to skip the tutorial.",1,70,12,"['hate', 'tutorial', 'currency', 'war', 'give', 'option', 'skip', 'tutorial']",hate tutorial currency war give option skip tutorial
This is enough the game keeps crashing. how the hell am I supposed to play?!,1,76,15,"['enough', 'game', 'keep', 'crash', 'hell', 'suppose']",enough game keep crash hell suppose
I want E2 Phainon,5,17,4,"['want', 'eidolon_2', 'phainon']",want eidolon_2 phainon
From 5 star to 3 star Why? Powercreeps and voice actor issues.,2,62,12,"['powercreeps', 'voice', 'actor', 'issue']",powercreeps voice actor issue
Hoyo why did you kill our Phainon,1,33,7,"['kill', 'phainon']",kill phainon
"Amphoreus was destroyed, Amphoreus charaters are dead, all that suffering was for nothing! I wasted a year playing this! I deleted the game. I played for the story and the characters, but they can change the story whenever, and the characters are dead. The writers don't know how to finish a story. They might bring the dead back, like before, if they want to sell a skin or a new version of them.",1,397,73,"['amphoreus', 'destroy', 'amphoreus', 'character', 'dead', 'suffer', 'nothing', 'waste', 'year', 'delete', 'game', 'story', 'character', 'change', 'story', 'whenever', 'character', 'dead', 'writer', 'not', 'know', 'finish', 'story', 'might', 'bring', 'dead', 'back', 'like', 'want', 'sell', 'skin', 'new', 'version']",amphoreus destroy amphoreus character dead suffer nothing waste year delete game story character change story whenever character dead writer not know finish story might bring dead back like want sell skin new version
"I just don't understand why the Chrysos heirs are being deleted. like I worked so hard to level up my 3 heirs only for them to be deleted, especially Anaxa who I just got and Dan heng.",1,184,37,"['not', 'understand', 'chrysos', 'heir', 'delete', 'like', 'worked', 'hard', 'level', 'heir', 'delete', 'especially', 'anaxa', 'get', 'dan', 'heng']",not understand chrysos heir delete like worked hard level heir delete especially anaxa get dan heng
"this sucks. there's so many crashing problems, and the story isn't compelling. a complete flop on hoyos part. do better. I wanted something like a scifi genshin, where it doesn't lag, and the story is good. also the turn based fighting isn't as exhilarating as the open world fighting, where you rapidly switch characters and have to use em reactions. also, you only have a certain amount of times you can use your skill, which suck. make there be a cool down on it. fix all these issues please.",5,495,89,"['suck', 'many', 'crash', 'problem', 'story', 'not', 'compel', 'complete', 'flop', 'hoyos', 'part', 'well', 'want', 'something', 'like', 'scifi', 'not', 'lag', 'story', 'good', 'also', 'turn', 'base', 'fight', 'not', 'exhilarate', 'open', 'world', 'fight', 'rapidly', 'switch', 'character', 'use', 'em', 'reaction', 'also', 'certain', 'amount', 'time', 'use', 'skill', 'suck', 'make', 'cool', 'fix', 'issue', 'please']",suck many crash problem story not compel complete flop hoyos part well want something like scifi not lag story good also turn base fight not exhilarate open world fight rapidly switch character use em reaction also certain amount time use skill suck make cool fix issue please
amphoreous was awful lol,1,24,4,"['amphoreous', 'awful', 'lol']",amphoreous awful lol
I'M BAWLING MY EYES OUT RN BRO YOU DID NOT NEED TO KILL ALL THE AMPHOREUS CHARACTERS LIKE THAT💔,1,95,19,"['bawl', 'eye', 'rn', 'bro', 'not', 'need', 'kill', 'amphoreus', 'character', 'like']",bawl eye rn bro not need kill amphoreus character like
"no wonder its has 3 star rate. gacha rate rules spend your rich till poor, mechanic for story can't even pass with free unit. it's not gonna be long before people won't play this game.",1,184,35,"['no', 'wonder', 'rate', 'gacha', 'rate', 'rule', 'spend', 'rich', 'till', 'poor', 'mechanic', 'story', 'not', 'even', 'pass', 'free', 'unit', 'not', 'gon', 'na', 'long', 'people', 'not', 'game']",no wonder rate gacha rate rule spend rich till poor mechanic story not even pass free unit not gon na long people not game
this game now become very good when I start this game it's not that great but now the listen what the player want now the game becomes much more Fun want to play and they give player free 5 star character many time not any game do this now please try this game you will like it,5,277,57,"['game', 'become', 'good', 'start', 'game', 'not', 'great', 'listen', 'want', 'game', 'becomes', 'much', 'fun', 'want', 'give', 'free', 'character', 'many', 'not', 'game', 'please', 'try', 'game', 'like']",game become good start game not great listen want game becomes much fun want give free character many not game please try game like
"Greedy asf, milking you dry with your money. Also the powercreep? Every character will be outshined by someone immediately",1,122,19,"['greedy', 'asf', 'milk', 'dry', 'money', 'also', 'powercreep', 'every', 'character', 'outshine', 'someone', 'immediately']",greedy asf milk dry money also powercreep every character outshine someone immediately
Extremely disappointed in the direction this game is taking. The powercreep is insanely fast and it's near impossible to keep up with meta without spending money.,1,162,26,"['extremely', 'disappointed', 'direction', 'game', 'take', 'powercreep', 'insanely', 'fast', 'near', 'impossible', 'keep', 'meta', 'without', 'spend', 'money']",extremely disappointed direction game take powercreep insanely fast near impossible keep meta without spend money
I don't know but this games are so bored,1,40,9,"['not', 'know', 'bored']",not know bored
Insane character animation,5,26,3,"['insane', 'character', 'animation']",insane character animation
as much as I love this game the new update has made it unplayable as almost everything makes it crash and most times can't even move past the title screen. prob not gonna keep a 30+ gig game if I can't even play it 🥀,1,216,45,"['much', 'love', 'game', 'new', 'update', 'make', 'unplayable', 'almost', 'everything', 'make', 'crash', 'time', 'not', 'even', 'move', 'past', 'title', 'screen', 'prob', 'not', 'gon', 'na', 'keep', '30', 'gig', 'game', 'not', 'even']",much love game new update make unplayable almost everything make crash time not even move past title screen prob not gon na keep 30 gig game not even
"Powercreep, Greed, Never listen to players feedback Just another Hoyogame that's going down the Path of Greed New characters will be useless in a few patches and forced to pull new characters just to only clear contents It was such a nice game, but it's always the devs make it worst due to greed",1,296,54,"['powercreep', 'greed', 'never', 'listen', 'feedback', 'another', 'hoyogame', 'go', 'path', 'greed', 'new', 'character', 'useless', 'patch', 'force', 'pull', 'new', 'character', 'clear', 'content', 'nice', 'game', 'always', 'devs', 'make', 'bad', 'due', 'greed']",powercreep greed never listen feedback another hoyogame go path greed new character useless patch force pull new character clear content nice game always devs make bad due greed
I face Login problem for a long time. I have faced the issue too many times try again later,2,91,19,"['face', 'login', 'problem', 'long', 'face', 'issue', 'many', 'time', 'try', 'later']",face login problem long face issue many time try later
"for the end game content update, enemy hp should not be increased to several million. It's will be extremely hard for new players or returning players.",3,151,26,"['end', 'game', 'update', 'enemy', 'health', 'not', 'increase', 'several', 'million', 'extremely', 'hard', 'new', 'return']",end game update enemy health not increase several million extremely hard new return
"People keeps complaining some petty things, as a F2P I have no problem completing everything up to date both main and side story. Just keep on trying mix and match to build a team base on which character you have.",5,213,40,"['people', 'keep', 'complain', 'petty', 'thing', 'free_to_play', 'no', 'problem', 'complete', 'everything', 'date', 'main', 'side', 'story', 'keep', 'try', 'mix', 'match', 'build', 'team', 'base', 'character']",people keep complain petty thing free_to_play no problem complete everything date main side story keep try mix match build team base character
