review_text,rating,review_date
really really love the replayable scenes!!! thank you honkai: star rail for realizing your fans' wishes such as this mod.. am enjoying it so much!!!,5,2025-11-07 13:16:04
I LOVE YOU I LOVE THOS GAME IN COMIBF BQCK EVERY ORHER GAME IS TRASHHHH,5,2025-11-07 11:37:15
The greed of this company is simply unmatched. All of the decisions related to the monetization and exponential power spike of the game have been very disheartening. What is strange is how the critiques and concerns from players about the games health are not been acknowledged or even considered. It is quite sad to see as the game itself is of high quality and can be fun but hoyoverse seems like they want to sour the experience.,1,2025-11-07 11:01:30
Love it. PHAINON MUST LIVE!,5,2025-11-07 09:52:42
Cool game really enjoyed the story though it's gacha system is somewhat weird. It's story is very intriguing,4,2025-11-07 08:47:01
"bad gameplay direction, not fully clear",1,2025-11-07 08:37:10
The Amphoreous Arc is one of the best stories I've played in any game ever. HSR has shattered my expectations for gacha and mobile games.,5,2025-11-07 08:33:52
it's 5-star because I don't want Hertatomb to actualized.,5,2025-11-07 08:06:46
"The story is fun, and it's pretty easy to get into as a new player. However, once you've done the main story, it gets boring quickly. There are no new companion missions, no new 4 star characters. Every patch has a new character the meta caters to and it becomes near-impossible to clear late game content with old characters unless they're highly invested. The gambling aspect infects every part of the game, and there isn't nearly enough to do in-game for free to play players to earn pulls.",2,2025-11-07 07:42:41
good storyline,5,2025-11-07 07:38:49
cyrene🥀 (and the top-up event),1,2025-11-07 07:26:35
Holy bloated writing,3,2025-11-07 06:48:29
"Great update, the story in Amphoreus is picking up so nicely please keep this pace! Absolute loving the cast so far. Edit Reducing a star because it takes real skill to ruin a story that was this good with such a botched ending. Hoyoverse writing team has a knack for ruining conclusions.",3,2025-11-07 06:19:12
Lesson No1. Never use real money in these types of games,1,2025-11-07 05:09:58
"Update: I really loved this game when it first came out, but with how fast power creep is, you have to spend money to keep relevant. The gear system feels like a slog after playing for two years, and the fact that my favourite characters are irrelevant led to me dropping. Story had its moments, but the ramp up with spending (shops that give more rewards the more you spend) made me feel like Hoyo just wanted me to keep spending money, and not enjoy their game.",2,2025-11-07 02:49:52
Massive W,5,2025-11-07 02:09:48
Greedy Company,1,2025-11-07 02:08:23
Best Cutscenes. The moment when Evernight or March 7th reunites withs Dan Heng and Trailblazer was so emotional....,5,2025-11-07 01:46:32
way to much to download on phone 13g and 33000+ rescourses to download is almost as insane a download as brown dust 2 which I hade to uninstall for almost the same reason can't even download to fully play plus both eat up leftover download space afterward sadly wish it was way less intense on phone users for both them games,1,2025-11-07 01:41:59
Cyrene... And the new story patch too tbh,1,2025-11-07 01:14:13
"JUST WHAT WAS THAT 3.7 STORY QUEST? Firstly, y'all attach us to the characters and then ""kill"" them off?? Bring all the chrysos heirs back!! I hate this game!! It's not worth it if you're not ready to cry 😭",1,2025-11-06 23:44:46
"I've been playing this game since December 2024 and have grinded to reach the recent patch 3.7. However, this update has pushed me to my breaking point. I've been trying to download the resources everytime I log in and it never does. If the download fails and I try again, its storage space even though I have the space. I've been trying and waiting for almost two full days and im still struggling. all the added data and changes because of cyrene is killing my phone. I quit.",2,2025-11-06 23:06:32
Too heavy,2,2025-11-06 23:04:28
"Best game ever, its fun and entertaining.",5,2025-11-06 22:49:41
Login Error Occured. Error Code: 1001_1 Long event story... Hard pity gacha...,1,2025-11-06 21:28:12
WE NEED A HAPPY ENDING!!,1,2025-11-06 20:55:17
"Whoever wrote the latest patch must’ve thought 'epic fail' was cutting-edge. Newsflash: it’s just trash. Appalling doesn’t even begin to cover the complete failure of the narrative and characterization. The empty rhetoric only made the already terrible storytelling worse. I guess this so-called 'genius' of a writer is nothing more than a master of recycling clichés, and the constant praise just feeds the illusion of depth.",1,2025-11-06 20:35:53
good experience,3,2025-11-06 20:23:18
"Please consider making the small Cyrene playable. I, along with many others, am not interested in the new character you created. Also, without spoiling anything, the fact that you turned the joke about her into something real in the story is honestly pretty wild",1,2025-11-06 19:52:03
what a smart company. they know how to trick their player,2,2025-11-06 19:43:15
"absolutely pathetic job. often the highest revenue game but that money is no where to be seen, by far the laziest damn developers in terms of what's in the game verse the money on hand. Shared animations, no voice acting in scenes, stiff recycled movements in cutscenes. every character share one of four animation skeletons. all could have been acceptable if patched over, but by now clearly that won't happen. the recent patch has by far the worst story update this game has ever put to screen.",1,2025-11-06 19:17:53
3.7 story is peak I really liked Cyrene,5,2025-11-06 19:16:39
"I like this game like hell, it's definitely my style. The design is well done, the UX is well done. I'm still confused about some steps, but they explain everything. Just one issue: it takes a hell of a lot of storage. My phone couldn't handle it, so I uninstalled it, and now I'm sad about that. My phone doesn't have many apps, but it takes more than 60GB of storage, which is so huge",4,2025-11-06 18:46:25
"Hoyo cooked with the story and then they decided that they don't have enough money, so they release a scam character that needs E2 + signature to be worth it and then has a cosmetic that costs around 300€ to get only by spending real money. My opinion of Hoyo just plummeted down to non-existent. How can they be so greedy and even showcase Cyrene with Eidolons on the 3.7 Livestream... And even worse is that the Amphoreus arc will end and then new 4.0 characters instantly powercreep E0 Cyrene.",2,2025-11-06 18:38:13
"fanatic game, but the pressure to spend really weighs on players and stresses them out. would be nice to have a better pity/reward system. Honestly, I really wish I could love this game, but it's simply too predatory in its current state.",3,2025-11-06 17:41:59
"Bring the Chrysos Heirs back, or else Little Ica will devour you all. I can't do this without them. 💔",1,2025-11-06 16:48:06
Cyrene is absolutely horrible. Unusable below E2 and you have to have a premium remembrance team. Fix her kit. She is a cash cow. At this point she's just nostalgia bait. Listen to your players.,1,2025-11-06 16:21:26
this game is genuinely so good!! theyre so much more generous than other hoyo games (as someone that plays/played all hoyo games before) which i really like as an f2p. i do have to mention that the game is becoming more and more of a cash grab.. (typing this at the time of cyrenes release) the new characters are getting too overpowered and i feel like its ruining the balance of the game in a way? overall this is a good game but i hope the devs address the powercreep issues soon.,4,2025-11-06 15:44:52
"I hates the tutorial currency wars, give options to skip the tutorial.",1,2025-11-06 15:13:46
This is enough the game keeps crashing. how the hell am I supposed to play?!,1,2025-11-06 14:53:36
I want E2 Phainon,5,2025-11-06 14:38:24
From 5 star to 3 star Why? Powercreeps and voice actor issues.,2,2025-11-06 14:16:27
Hoyo why did you kill our Phainon,1,2025-11-06 13:57:09
"Amphoreus was destroyed, Amphoreus charaters are dead, all that suffering was for nothing! I wasted a year playing this! I deleted the game. I played for the story and the characters, but they can change the story whenever, and the characters are dead. The writers don't know how to finish a story. They might bring the dead back, like before, if they want to sell a skin or a new version of them.",1,2025-11-06 13:41:36
"I just don't understand why the Chrysos heirs are being deleted. like I worked so hard to level up my 3 heirs only for them to be deleted, especially Anaxa who I just got and Dan heng.",1,2025-11-06 12:20:33
"this sucks. there's so many crashing problems, and the story isn't compelling. a complete flop on hoyos part. do better. I wanted something like a scifi genshin, where it doesn't lag, and the story is good. also the turn based fighting isn't as exhilarating as the open world fighting, where you rapidly switch characters and have to use em reactions. also, you only have a certain amount of times you can use your skill, which suck. make there be a cool down on it. fix all these issues please.",5,2025-11-06 12:08:26
amphoreous was awful lol,1,2025-11-06 12:07:51
I'M BAWLING MY EYES OUT RN BRO YOU DID NOT NEED TO KILL ALL THE AMPHOREUS CHARACTERS LIKE THAT💔,1,2025-11-06 11:57:42
"no wonder its has 3 star rate. gacha rate rules spend your rich till poor, mechanic for story can't even pass with free unit. it's not gonna be long before people won't play this game.",1,2025-11-06 11:56:35
this game now become very good when I start this game it's not that great but now the listen what the player want now the game becomes much more Fun want to play and they give player free 5 star character many time not any game do this now please try this game you will like it,5,2025-11-06 11:51:40
"Greedy asf, milking you dry with your money. Also the powercreep? Every character will be outshined by someone immediately",1,2025-11-06 11:41:05
Extremely disappointed in the direction this game is taking. The powercreep is insanely fast and it's near impossible to keep up with meta without spending money.,1,2025-11-06 10:31:52
I don't know but this games are so bored,1,2025-11-06 10:14:14
Insane character animation,5,2025-11-06 09:56:49
as much as I love this game the new update has made it unplayable as almost everything makes it crash and most times can't even move past the title screen. prob not gonna keep a 30+ gig game if I can't even play it 🥀,1,2025-11-06 09:38:17
"Powercreep, Greed, Never listen to players feedback Just another Hoyogame that's going down the Path of Greed New characters will be useless in a few patches and forced to pull new characters just to only clear contents It was such a nice game, but it's always the devs make it worst due to greed",1,2025-11-06 09:18:48
I face Login problem for a long time. I have faced the issue too many times try again later,2,2025-11-06 07:38:10
"for the end game content update, enemy hp should not be increased to several million. It's will be extremely hard for new players or returning players.",3,2025-11-06 07:17:11
"People keeps complaining some petty things, as a F2P I have no problem completing everything up to date both main and side story. Just keep on trying mix and match to build a team base on which character you have.",5,2025-11-06 06:49:24
"Belobog arc 5 ⭐ great from beginning to end. Lofu arc 3 ⭐ story unfinished but ok so far. Penacony arc 2 ⭐ good start, bad middle, good end, horrible epilogue full of singing brain rot monkeys. Amphoreus arc 1⭐ mediocre start, long painful middle repeating the same story over and over. ending good. epilogue dumb. additionally this arc had endless problems throughout all its patches. Regardless of reason whether it be greed or politics they gave an awful experience and continues to do so.",1,2025-11-06 06:40:34
i love this game but can't you guys idk maybe compress the files for us mobile users like what wuthering waves and genshin impact did because id like an option to just download like 20 gb instead of 40 gb,2,2025-11-06 06:36:32
The level of greed is actually disgusting,1,2025-11-06 06:27:53
"cyrene kit bad, pls fix.",1,2025-11-06 06:26:24
"Consecutively losing 50/50 10 times in a row is not fun. Seems like rates have been tailored to be on the losing end as of recent. Please include systems like ""capturing radiance"" of Genshin. I'm tired of saving for a long time, skipping multiple banners only to lose everytime on the characters I want.",1,2025-11-06 04:07:40
It used to be good but now its just extremely underhanded and predatory. The only people who still play are people who are older players because it feels like we've been trapped into it,1,2025-11-06 03:57:39
"damn it.. chaning my review again from 1 star (as I lost 50/50) to 5 star, as 3.7 was peak cinema 🙌",5,2025-11-06 03:42:04
Only played up to partway through Penacony and the story is pretty fun. It does fall into the typical of gacha being pushed so the strongest chars are always the new ones. So there will come a time where you can't beat the final 1/2 bosses of grinding/event stages (not story) because you haven't whaled on all the new chars. Biggest issue is updating the game downloads the entire game again before replacing the files and deletin the old. Means you always need 2x the space to be able to update.,3,2025-11-06 03:36:20
this game has become bad.,4,2025-11-06 03:13:12
"Not free to play friendly game, when every unit needs their signature weapon to function, stopped releassing 4 star character, Stopped giving 4 star weapon as alternative of the limited one, even on their own guide if you don't have the limited weapon, they tell you to use another limited one lol, content extremely restricted on what team you need, if you don't have X team gg you can't clear it. Hoyo will never stopped being greedy while being a billionaire company",1,2025-11-06 02:57:18
"I absolutely adore this game for a multitude of reasons, but I will say that the devs are getting greedy. Older characters have been powecrept so quickly there's no point in bringing them to any new combat content. There is also a huge lack of 4 stars. Parts of character kits are starting to be locked behind constellations when they should be included at E0. Overall I'm deeply concerned that the game I love is going to end up soulless and greedy. Star rail has so much going for it.",3,2025-11-06 02:54:36
game dosen't even need 4 stars anymore cuz of hp inflation and powercreep.,1,2025-11-06 02:36:07
"The good: Weird, philosophical storytelling. Good music. Doesn't mind letting its characters be goofy, especially in event stories. Excellent animations. Voice acting is generally good. The bad: The higher tiers of the end-game modes Memory of Chaos and Apocalyse may become inaccessible for free to play and light spenders. More archetypes are being released, so building a specific team may take a long time with the rotating banner. Gear grind gets old. Way more predatory tactics with 3.7 release",2,2025-11-06 01:50:55
$300 for a weapon skin that you may see for an hour and multiple characters need their second constillation to be functional story can be very hit or miss lots of times its 8 hrs of sleeping bs and abismal delivery. lore and a condensed version of the story phenomenal delivery absolute shite.,1,2025-11-06 00:57:39
dont bother,1,2025-11-06 00:39:39
this game is very good and you can f2p. These guys just got too spoiled that they want more than the average rewards that they give,5,2025-11-06 00:31:00
"AMAZING, this game caters to you even if you stop playing for a while, you don't have to grind much and it's super fun. The gameplay is simple to catch onto and the characters designs are on point. VERY f2p friendly!",5,2025-11-06 00:23:11
why is this game lowk greedy 🫩,1,2025-11-06 00:09:51
"Game has gone super downhill coming from a player since launch. Characters rotating out of the meta faster than the seasons are changing, endgame content enemy health bars are only inflating more and more every patch making my older characters unusable, really bad monetisation and zero new 4 star characters since Moze. Cyrene is almost the last nail in the coffin for me. a character that has to be E2 or is just unplayable. yeah the free stuff is cool but what's the point when it'll just rotate?",1,2025-11-05 23:52:37
"As a Fate fan, collab could have been a lot better after hyping it for almost a year.",2,2025-11-05 23:47:25
haven't won a 50/50 in the last 10 banners and had to go to pity each time. im done. The developers response of telling me I can read the rules for the warp doesnt change the fact that your rates suck and ive been shafted to the point of not giving you money. You can read about that in your diminishing returns revenue statement.,1,2025-11-05 23:46:09
"I'm trying to link my account to a Google account and all its saying is to many requests, but I've been trying for an hour now and it hasn't worked, then it will tell me you been to long on the page try again. It's very frustrating because I come back but stillllllll to many requests",5,2025-11-05 23:30:18
my comfort game :),5,2025-11-05 23:28:28
peak characters peak story,5,2025-11-05 23:05:11
hmmm I thought it was an update but I started all over again.. kinda disappointed with what happened,1,2025-11-05 22:52:20
8 patches for this?,3,2025-11-05 22:42:57
delete cyrene from this game,1,2025-11-05 22:29:11
new character suks without money,1,2025-11-05 22:24:54
powercreep as hell+ totally did cyrene dirty bro 😭,1,2025-11-05 22:21:08
this is one of my favourite games of all time,5,2025-11-05 22:20:22
"Please fix the lag! I want better app optimization, and a much smoother experience on mobile.",1,2025-11-05 22:05:21
the lore is absolute peak. pls keep making peak lore. also pls fix Cyrene,4,2025-11-05 21:00:00
"GENSHIN COULD NEVER , THANKS HSR DEVS LOVE Y'ALL 🖤",1,2025-11-05 20:46:01
"The game is quite good. As a fan of RPGs, I really enjoy it. Even though each characters are not built equal (some stronger than others), with a bit of creativity, it is possible to have fun. the story of Jarilo VI was peak not gonna lie",4,2025-11-05 20:30:54
Good RPG game with many cool mechanics but the only problem is the HP INFLATION!!! Please Hoyo don't do this to F2P,3,2025-11-05 20:26:29
"this new ""card game"" mode had the most drawn out. painful. handholding tutorial! it made me want to rip my hair and eyes out. they say they make this game for older audiences, why treat us as stupid and incapable as that horrid tutorial did?",2,2025-11-05 20:10:17
"Lately, this game has become soulless and quite a chore.",2,2025-11-05 20:09:47
THANK YOUR HOYOVERSE FOR THE EARLY PITY WIN KEEP DOING THIS AND ILL BE A LOYAL FAN THABK YOU SO MUCH,5,2025-11-05 20:03:00
"fix cyrene's kit. already messed up with global passives and now you pay gate a pathetic bow texture while showcasing her E6 during her showcase. that's false advertising. this feels like betrayal because I genuinely love hsr, so I'll speak up for the game in order for it to be better.",5,2025-11-05 19:45:55
"I TRY TO PULL CYRENE in 90 PULL TICKET BUT WHAT THE HELL!!!! I GOT BAILU INSTEAD CYRENE!!! (CAN U MAKE PRIORITY THE NEW CHARACTER WHEN WE DRAW A PULL! , DONT PUT OR INCLUDE THE OLD CHARACTER ON DROP PULL OR INSTEAD MAKE THE OLD CHARACTER LOW PERCENT TO GET FROM PULL AND MAKE PRIORITY THE NEW CHARACTER!!!!! CAUSE WE SAVE A LOT OF TIME TO SAVE THAT TICKET AND I JUST WASTE MY TICKET ALL MY TICKET FROM BAILU WHAT THE HELL!!!! KINDLY FIX THE DROP PULL THE WARP EVENT!!!!!!!!!!!!",1,2025-11-05 19:43:54
"HEY YOU! YEAH YOU, THAT RANDOM PERSON WHO LOOKS AT REVIEWS! ARE YOU READY FOR THE ""HONKAI"" IN HONKAI STAR RAIL? WE HAVE THAT IN HERE IN THE LATEST VERSION 3.7 AND NOW YOU CAN MEET THE FLAME CHASERS HERE AND- That's it. We are honkai'ed by shaoji. Go ahead, play it or not, she will wait for you. .... . .-.. .-.. --- --..-- / .-- --- .-. .-.. -..",5,2025-11-05 19:43:27
amphoreus ruined my life,5,2025-11-05 19:30:28
"Honestly kinda okay game overall. I just wished that some paths like the hunt and abundance gets reworked because everyone is better than almost all of the characters in those paths. Additionally, gimmicks like superbreak and FuA should just be fixed entirely. You cannot just slap in a new character with those gimmicks and just say the whole gimmick is fixed. For example Dot. You didn't fix Dot just by putting out hysilens, it's still the same. Please stop being a greedy company 🙏🙏🙏",4,2025-11-05 19:23:28
"Greedy new patch, spending near 300$ for a weapon skin, and buying 300$ (3 copies) worth a character to fix her kit is beyond vile.",1,2025-11-05 19:18:19
"Imma 5 star, till ya remove Penacony. never mind, the Skip Button really helps",4,2025-11-05 19:09:34
THIS IS SO NICE I REGERET MY OLD REVIEW ILY HSR,5,2025-11-05 19:03:22
Characters are being powercrept in just a few patches. HSR is finally showing its greed,1,2025-11-05 19:00:08
See you tomorrow...,5,2025-11-05 18:47:15
"I like the game. It just takes too much storage, I would have to delete almost everything off my phone for it to work, even my photos and videos. but I still like the game... please change the storage plan...",2,2025-11-05 18:43:59
"The game itself is good, but powercreep is terrible, and it doesn't respect your time.",3,2025-11-05 18:43:38
Absolutely beautiful story,5,2025-11-05 18:28:40
good game good thing I have luck on my side when pulling characters cause the Powercrept is insane here,5,2025-11-05 18:27:39
"JELEKKKK, INON GW HOYOOOO 😡😡",1,2025-11-05 18:13:26
"This game is so bad, don't ever play this game. it only gives depression.",1,2025-11-05 18:01:05
I rlly love this game though I lost my 50/50 while pulling for blade to Fu Xuan like he's literally a standard banner or whatever you call that character,5,2025-11-05 17:39:28
"Not angry, just dissapointed of Mihoyo. Power creep after every major patch, which invalidates nearly all characters from before now they release cyrene, a character basically everyone has been waiting for - who is hyper restricted (support bound to v3 characters), worst character released in v3 and at the end it would be naive to think she will not be power crept as soon v4 hits. To top it off she is designed to require 3 copies + her weapon to properly function... It gets worse every time.",2,2025-11-05 17:34:37
bad rate gacha for me,1,2025-11-05 17:33:17
"It was so good until the amorphous arc was trash, not just that Cyrene cycle ult is trash",1,2025-11-05 17:29:28
IT'S SO EMOTIONAL AND I LOVE IT SO MUCH EVEN WHEN I ALWAYS LOSE MY 50/50S I LOVE IT HOYOVERSE!!! PLEASE DON'T STOP AND DON'T QUIT!!! IGNORE THOSE HATE COMMENTS AND WHAT THEY THINK ABOUT CYRENE!!! SHE'S STRONG AND BEAUTIFUL!!! I SUPPORT YOU HOYOVERSE!!!!!❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,5,2025-11-05 17:02:56
EARLY PITY FOR CYRENE PLS,5,2025-11-05 16:54:58
"This game totally ONLINE GAMBLING, because what?? because you must GAMBLING FOR NEW CHARACTER. why?? because rate is just 0.01%, TOTALLY ONLINE GAMBLING. SUCKS!!!",1,2025-11-05 16:32:36
"Fix your rates 50/50 is a deceptive gacha system EDIT: minus one star, powercreep and endgame shiling worsens, not even Fate collab will save HSR from its steadily worsening bad rep. EDIT: Down to last star. 300$ bow skin? Marriage theme ults? Isn't Cyrene a pivotal part of Phainon's story at first? What happened, why waifu shilling now lmao!?",1,2025-11-05 16:31:01
"pretty good game. Amazing graphics, great character designs, beautiful plot, and what not.",5,2025-11-05 16:26:33
"It happened again, i couldn't log in with my Facebook account 😓",4,2025-11-05 16:08:35
insane power creep and greedy company,1,2025-11-05 15:41:10
I love the style of the characters But if the game have Co op mode it would be more fun and also there should be more events so that we can't get bored,1,2025-11-05 15:40:01
"It used to run very fine while i was playing on my phone with low graphics, but now that i'm playing on my tablet and set it to high graphics surprisingly the surroundings won't load for some reason... specifically the floor, and even if i change it to low or any type of graphics it would still be the same, even though my wifi ping isn't red, and it's always green.",3,2025-11-05 15:36:39
"I've been with HSR ever since the first launch, but right now i've never been disappointed in the entire game, you're just following HI3 with all these tragic stories, especially Amphoreus, i thought HSR was supposed to be like an alternate universe but no, you decided to do it all over again, so disappointing. If you plan to do this over and over again, i know i'm not someone important but i'll quit this game.",1,2025-11-05 15:32:23
why is the story the same as Honkai impact 3 :v,1,2025-11-05 15:27:25
why is my game stuck in verifying resources I can't login,2,2025-11-05 14:54:17
"first Wuwa was stealing from. you, now you are stealing from them? Hoyo can you please keep your bad fan service in Zzz and keep Genshin and honkai the way they are?",1,2025-11-05 14:45:11
"Came back for Cyrene update, events are boring, not excited to do the new main quest and new challenge. I regret coming back",1,2025-11-05 14:35:33
"yeah i always knew u were trash bruh, but i cant just prove it before.",1,2025-11-05 14:34:24
absolutely cinema,5,2025-11-05 14:21:07
Been playing since release. There's nothing not to love about hsr ❤,5,2025-11-05 14:15:45
I ❤ this game,4,2025-11-05 14:08:39
Nvm it's all good i switched my phone😌,5,2025-11-05 14:03:14
"you want the worst mini games without impossible difficult content for all those units you spent on? I finally quit this. I had to step back and think, and oh boy did this game rob me of my time like no other. maybe the whole combat system can be implemented properly in a different game lol",1,2025-11-05 13:55:33
"Voice acting is outrageously good, graphics good, gameplay is great, mildly anti-cashgrab which is rare, overall a highly recommended addition to any gaming lineup.",5,2025-11-05 13:51:22
The whole 3.0 is insane with the dedication to 3.7 like changing the characters trailer.. Pure dedication making me get close with the character story first then drop a big bomb all of the sudden yesterday morning.. 😭,5,2025-11-05 13:48:38
"gonna be so honest this game is starting to piss me off 🥀 no 4* since a whole year ago, characters being more and more meta, hyv RUINING kits and only making characters meta with eliodons (im looking at you cyrene) and some weird pedo allegations???? bro",2,2025-11-05 13:30:19
great game but as a casual f2p catching up with the meta is rlly hard especially if you're a returning player,4,2025-11-05 13:20:44
this game gameplay a bit boring ah,1,2025-11-05 13:17:45
"I HATE THIS GAME! if you're wondering, this is a game that is praised for having a lot of female and male characters, but the thing is that their female characters receive so much more in terms of kits and trailers while male ones are left picking up the scraps. I love Elysia, but I hate Cyrene. The devs really want to sell her, but don't know how to write her as she barely has any relationships with the Crysos Heirs. Bad character, bad final story, it all feels so insignificant. Will delete.",1,2025-11-05 13:12:30
i gave this game a 5 star rating before but after coming back and playing for a few months I am kinda disappointed you need to have the new 5 star characters otherwise you can't complete the end game content and can't get any reward that you need to pull the new characters it's like a cycle that keeps repeating you need to change this cause game is not in a very good spot,1,2025-11-05 13:09:55
"i am not a hi3rd player. i don't care about Elysia. i do, or did, care about Cyrene. i was excited for Cyrene to release but lo and behold its just elysia top to bottom. horrible mismanagement of an anticipated character from gutting her character to the greed of needing her e2 on top of the money hungry banner lineup and top up event. a $300 weapon skin that changes basically nothing. wow",1,2025-11-05 12:49:41
"Honestly such a good game, I've been playing for about a year by now I think, the combat isn't exactly dynamic, however I mostly play for the characters and their backstories, and that is anything but missing. Amazingly made characters are definitely not hard to find in HSR, and the designs are even better. For someone like me, who absolutely sucks at fighting, this is definitely a 10/10 game.",5,2025-11-05 12:41:29
I hate this game (jk I love it),5,2025-11-05 12:40:08
"THANK YOU HOYOVERSE! I love Phainon, I love him so so so so much and after knowing what happens in 3.7 just recently. I'm holding on to the hope that Phainon and the other chrysos heirs will stay in the AE, I don't care if I'm delusional. Still, I love this game and I won't get tired of it! I love other characters aside from Phainon. pls pls pls, give us more amphoreus content in the future. THANK YOU!!!!",5,2025-11-05 12:37:20
Much easier to play on mobile than Genshin Impact,5,2025-11-05 12:34:04
"Disgusting, the fact you need to spend more to even play the end game with at least C2 characters to even 3 star them 🤦",1,2025-11-05 12:12:28
it's good,5,2025-11-05 11:54:13
Lack of events,4,2025-11-05 11:52:34
"Really fun and amazing story, I'm obsessed with this game!!! Easier than Genshin to fight and craft, but still challenging :)",5,2025-11-05 11:46:03
"Honkai Star Rail is one of my favorite games! I love the characters, I enjoy the story, and I can't get enough of the gameplay.",5,2025-11-05 11:39:24
Worstest game ever Worst Gacha system Always hard pity hard garunteed,1,2025-11-05 11:38:15
yeah no. add in a system like capturing radiance from genshin. I've lost 6-7 of my pities STRAIGHT. can't recommend this game especially if I'm a paying player.,1,2025-11-05 11:32:36
"they removed autoplay on trial battles, im done with your games",1,2025-11-05 11:24:22
easy and fun game you can search your own team and prefer characters,5,2025-11-05 11:20:04
The past 5* Characters are no longer usable for the current monster waves and like the new heroes are on par with the mobs but for the past hereos thats supposed to be playable can't catch up. For f2p that only use jades from stories and event and not even sure if we can pull those heroes with just 10 pulls... How are we supposed to catch up to the events like moc and such.,2,2025-11-05 11:16:38
Cyrene is out please come home early pity and i'll rate it 5 stars,1,2025-11-05 11:14:28
this game is awesome for casual free to play players. Don't listen to the whiners hp inflation happens in all games and will be fixed by buffing old characters,5,2025-11-05 11:09:07
The story is enjoyable.Exploring the world it offers is fun.The character's design are fantastic.The music is great.Been having fun so far.Hopefully the story telling gets better Amphoreus has been a ride. Can't believe it's been almost a year since this arc started. There's some bad parts and good parts. I can't wait for what the devs have in store for the next planet but I will miss Amphoreus dearly.,4,2025-11-05 11:08:13
I love character design and the story is very nice,5,2025-11-05 11:05:44
People are missing out fr. It isn't as grindy as genshin. You do need to keep up with the current meta however; which is kinda hard for people only using the characters they love,5,2025-11-05 11:01:53
I love castorice and seems like castorice loves me too. She always come home,5,2025-11-05 10:55:51
i love this game. though it's hard to collect stellar jades as a f2p player. I wish we could get more free ones or just that we hit pity faster ;).,5,2025-11-05 10:54:23
"great gameplay, great story, powercreep sucks",5,2025-11-05 10:49:05
"33,550,336 Cycles that Phainon had to go through. All for nothing.",5,2025-11-05 10:39:37
Its really fun until you actually finish all quests and lvl up all your characters... BUT WHY IS ALL MY 5 STARS GONE..,3,2025-11-05 10:34:04
dont let the 50/50 losers trick you,5,2025-11-05 10:20:57
my account got hacked the people who work at hoyoverse didn't help when I ask for their help.,1,2025-11-05 10:10:34
"peak mobile game. no ads, easy to grind until late game, when it becomes onl moderately challenging. generous events too.",5,2025-11-05 10:09:04
YOU GUYS NEED TO ADD BASIC AND FULL RESOURCES LIKE GENSHIN COZ ITS GETTING HIGHER AND I CANT DOWNLOAD IT AGAIN....,2,2025-11-05 10:07:03
